business_id,business_idx
tUFrWirKiKi_TAnsVWINQQ,0
rBmpy_Y1UbBx8ggHlyb7hA,1
wghnIlMb_i5U46HMBGx9ig,2
txyXRytGjwOXvS8s4sc-WA,3
eYxGFkxo6m3SYGVTh5m2nQ,4
x9K0RfZaT_zlw6DklBDzjw,5
2Bi3ef7c0CrLxHD_-yy_tw,6
luGY5CJlb4CJ3LrBcSXMPA,7
wEfK2HIYNzkA1QYfUjHBaw,8
anLQj9AM8vjbcLSIE0iUgg,9
9C2rpb56aQvW0ViZHK9sPw,10
E_kLUlU60fzoZYAOxbH_3w,11
E-nhxuu3zbt02oCj_1AFng,12
x8KYhsxbufQiYIK-4MRzHQ,13
HI4_NqeHMJOnMoVFNxaFyA,14
hdRtVNk-G9Ep4eaHPKXmfA,15
X0V_PdBTS_SwNxMY2795ZA,16
h_3oLlQ_CFohwlzsrSZ6xQ,17
Y6heWJJ9AmEL58fZwgi9YQ,18
WveinioyAZg3dtt0zHsyHA,19
8p9euqoMCbT4AIL_Fgqb0g,20
pIUQz-zGw-Nu_Pu-qoTGuw,21
zzUxvYE-8Fj_dWqsPcagNg,22
OIsLivxtTTqH7i1QISoUOQ,23
YG0OOMLP3MWYPKHpkA_mew,24
en_F2VgZPW1RCnWkPyCrhg,25
WcSpc5mcfa7NUZ9GQgx0Tg,26
f82dhKNiUXsDVPMLqKYiIQ,27
scychO44eMoosS9iEBV7xw,28
TEP-73fGvgSUmtQFaOTA_g,29
2FR-xWttfR8qaODqcuExvw,30
1vmx7_L210UBbOWLzrhepQ,31
KUx_q3nzqUINYgUTrZc9OA,32
Ot4bRWWO681vXZIgnLfjEA,33
FJDvhCGIwKuohPOK7JfLuA,34
5lcumCB7X0nH5PElagz1VA,35
Vk3Up8OlB8h2ygVlvm8tBQ,36
KDcHC6Es_jv4tloj0NP6gA,37
D7z_V6E8cxXghSRcHAmUPg,38
fCRGXD-TTLgNhaC4mVFFJQ,39
rrdSkNz4YG6eDgOq3ov0IQ,40
WZpCnvSQ-YGukju9r4Gd_A,41
cvrIE1rLPWk-Nxb_ZNv5lA,42
Jov0PmO5g5lXGQyPiEZyXw,43
xvAkaDEOOUloROkX0j4C-w,44
O5Obr4roy3Fd-nQXkfk7TQ,45
adATTqggIQX5xxLDISkFTw,46
hx-qUirkgRqX2Bk8A2U0nA,47
dRqRBDrQZsNKo72JlEcejw,48
XNBExNkAx5fjYM6fjqfzAA,49
nzIx3Wze25rr5k32sDCwaA,50
-pgTW7620zWdXMOczX0www,51
lq4bgjDiAYR6i63-ZDiBGg,52
oO3XXCAzBP4d-2klkkgEcw,53
EEc3X2r94uNhCz_jOTSzHg,54
j2oZyu8a5qa-LL-LZ5DBPw,55
5N8iDpDtjTbU0F1YD645xA,56
iRLAkeK4PZGjKB1zmvRByw,57
sSCTL4XvhBPZDdmnOYGmGA,58
RjiHOpvivcEm-vCPNCd6eg,59
GduRGjJmz2syYgaL83RInw,60
1gVkgLjul7xSIsJRCZHhmg,61
A9R_S909r4-7rSy8dt0sQQ,62
fEt_J2Lx80kwBy6FYHaT9Q,63
ytFuMCUQXUSWuvpZMP1uEA,64
yX-eHIG--H3geTNWZ2Q6SA,65
zQ62qOqUQScSb7ZCTLbpGg,66
L9gZiajtCvwr96vCVukNUA,67
OMzYjyFo4Z2NAwiHLd10Kw,68
kJb4o8aZ_93iBMq-Hery1w,69
PT_24gEkVdGG6ZhYuX7gMg,70
mWv9wdM5OD7tiDzf3DkyXw,71
16abiGP6ZPeXdz-aEDmQgw,72
26M-3o8bL-9MWAWKk3yjDQ,73
ixj7fzkBZOvwIphmfbyJMg,74
ewMNH7OxjqKZUHvZN5JFiw,75
ivXaeYqM6NK7Pg9EDUG8lw,76
IrDV880tvqNdP9RyYtu2ew,77
2vAqYNN86VWXZiy2E96-TQ,78
fVPPZWf5QghlCLYRYec1rg,79
wYnM2hu7l83HeRDZCr1HfQ,80
ArbuPK9NngFSgZ_-f6EPkg,81
3swM60bulnut1d4AZti80Q,82
pYscac0LOY0UTu6zuC4VAA,83
AKFahOtdDQA7NVXZyDajCA,84
h-GjLWwP7A0580JTqO-Wpg,85
iNMdSi5bmvGSGeRQiUW4dw,86
aCUMrON79XlMn1qaK2ayNA,87
a6Q00Q_a8pJX4kd2025zVQ,88
tsTaGk-IL9_j4DY0vDv1JQ,89
50HEqMZDL2Xsh2UzvBNepQ,90
oQYZ3j2H758y07p4RpCWug,91
hO1lftQ0IAirivevWSoD9g,92
3xqHC4ccVvdcFdn04v7GWA,93
slie9368A_rG70_1Wxe50g,94
C3roKH0ekXBz8l0ZoUIvAA,95
UAi8nZY-tCA758y4_8Meuw,96
Q_-WbIWbAYQkiMfE-VrQlA,97
wgcSbX3osqRibWW7pVyfww,98
tB2Oz-ULaIyPrRTZQXBCeA,99
uICb86NhQh_jKkfkpzFKrA,100
YCEHm8fHee8UwFFRskD6DA,101
ymG1jtr2wZCC5Wd0-oM32A,102
Yp7xPdDBcPRNsiEQ6QpRvw,103
onFzWveuDXbSOmq9CdBfPQ,104
i8UZblHPk2O-iNKJrnWQ_Q,105
1NhcrIJu3tsnIAKTZsvEeA,106
IXv-g1iK3Hwsnxp0vT8OgA,107
EAJOR4zG6_ixBPYgWhp6Jg,108
yL79wjr-9wa6X1BtRbiIhQ,109
oY-YKxfE2Wjq51P16YZ6Cw,110
8lw3jLtE-WvjPxz00PzGWA,111
rEt4M2MpiFzS-nqwzKDymw,112
s2SoiyZzBwzaxxXCXqJ56g,113
Vf1je11xO_8RtFeBUiV2tg,114
lCBJo0HvqYSYVxpDtQAkJw,115
5N5K-B0pA3as6dvl_ha5BQ,116
dMcLdgGSAIWsf6pdQK9YvQ,117
kN24lolUy8tdA88LT65cpw,118
-zXuVI8GB6lT4iU6KStOGg,119
bCIZeggW02uPdz2lobSjUA,120
KA3KjaYkC83KSQO2hpIXBQ,121
ok1AHRq6JBNqLmKsgcUQ6w,122
LEjVZUi2th79XWpW-gHmYA,123
A2Sa7mc1cNNrwxLJxCxphw,124
OkguWi_yMeeEYUVXXyaHOg,125
jULv8yx-pqzuVDVJLV438w,126
rX4pmubWdgrKEG794iwbWA,127
Y3ZCO17N1_T_Ms1JmswwzA,128
gkh6xzmRJvEjVV63LffsRQ,129
s5tg9sBfO3FhJyvivXe15A,130
lhsQkb5nhf-Kd5OvgB9MNg,131
FZFPZehgAPVHart6C9U3Og,132
__yJPcT-C68DuQ4dHdsrmg,133
SLWuzdFqnoaGgd6iLBrjLw,134
sM87il-TCWiluWs2StLHMw,135
t9npAFkpQelllEo27aRt1Q,136
MkvSTv2Y-M_TihbmW6_Mog,137
pHVwNKCJKnKJ2gHRwYli1Q,138
1RVzvMS3Xjdfe-eUznJQdw,139
temwBYz_1W4ug3KKosu-cw,140
Xd9erl9SNNedkVP-23U4-w,141
V7AcrIBcBiGT6l5_tub_Jw,142
g2vLirrM0mh-dlU-8wF0JQ,143
_9llyHSLPAGEHAcvTWt57Q,144
bc3K8KvLkLNu_XU3RkeeeA,145
UOWXGW5j1BV-iiqtbBS6jQ,146
a0X8BAm9-HhecZBoTElF0A,147
m6KZGTxRb9_ZyDpB1G6O1Q,148
X6LG3spqmxFeYXyjNBh7iQ,149
Q28TlneXws1shf8ymTdxtg,150
cKkxqm_FzbTYHbYm49hJpQ,151
8jAX9NCL-JGh9WNJcTvXZg,152
XyGRDrgCK0z4CiA6nhwEaw,153
aIc2fDKD3MxfyGTEsqpXig,154
-3-6BB10tIWNKGEF0Es2BA,155
J1duow_JpO47UuqnrY_LaA,156
mtdW6vnFQdkiD5R5NCGrQQ,157
R9ZtI-fSkarGx8RqmD-AJg,158
aZyCHVqXnz81fW1_KbFq0w,159
S3WazoxfO3euuvQUOJRlFA,160
BIt2HXhYksM4nReEz-a9tA,161
iXAHb5jmm8tmsGlh-DZNzw,162
CQEriE-BOvuiafpH1lOFKA,163
IVcN2mtVN1Yw3ABRB2Cx0Q,164
gD2_HqjOwttxj0S4v_v60Q,165
B396XQS2ZWZYWKUz6L9CkQ,166
wT554pEJdyp1fWpkG48dQw,167
CSyGosp_Mxe3FK9bdZL7Yw,168
SzMalBqTTdV2IvvD6M95rQ,169
iH0LeTf7RTlU4mD5d7fo1Q,170
uMbeb4sQLjqm2rlx3Kss2g,171
4grfwtBDji5tZ7AxYCXCzQ,172
hHP60v3JnRSg8vPnhdVB5w,173
U9tD1uasn-YuXQaqf0E1fQ,174
SnLLxr-yA_4pNshdem3UYg,175
jrvTLSMVZrEQt6zBLEb53g,176
k99AF2JQUj8rbpBR-33lGA,177
PsHzOS-Jao5CpRl5LKfvIg,178
owcK-gN5c0JXH3X8cBj5YQ,179
t03mAErURyb_wsZuy7lo5Q,180
UCMSWPqzXjd7QHq7v8PJjQ,181
69n1_ESkWS_PjaVBT55uHQ,182
8HA0FczzYJSHA6mj25-5-Q,183
_8c3ykQczPF77-qaOSks1Q,184
Q-bOKC8ugrwoytTYRPSGRw,185
401JuPDLoSMUewuzG40csw,186
v5T1Q21TT1_S_aY_G8Mf-g,187
Y70T1eClNnw_PlBkr1IHqg,188
Y29oTlO5PtAl8ypLSW9ZLQ,189
1__KKHIK8WuO_3zaXx6PmA,190
L3u4I6wHtwMQJ-ZtvfrkkQ,191
tQ7K3kTDMtl6AaBFZJcn-Q,192
Jqwjmp1Y04ZwUidKr5ezIQ,193
qB7z4j5_syaV8-aNosAJIA,194
coR0dFgGOU7fVku6xDdH-A,195
9PJUTMsQQ48F-rDLwvu30w,196
